date,country,no_of_cases
2022-09-08,Sudan,1349.698
2022-09-09,Sudan,1349.698
2022-09-10,Sudan,1349.698
2022-09-11,Sudan,1349.975
2022-09-12,Sudan,1349.975
2022-09-13,Sudan,1349.975
2022-09-14,Sudan,1349.975
2022-09-15,Sudan,1349.975
2022-09-16,Sudan,1349.975
2022-09-17,Sudan,1349.975
2022-09-18,Sudan,1350.594
2022-09-19,Sudan,1350.594
2022-09-20,Sudan,1350.594
2022-09-21,Sudan,1350.594
2022-09-22,Sudan,1350.594
2022-09-23,Sudan,1350.594
2022-09-24,Sudan,1350.594
2022-09-25,Sudan,1350.828
2022-09-26,Sudan,1350.828
2022-09-27,Sudan,1350.828
2022-09-28,Sudan,1350.828
2022-09-29,Sudan,1350.828
2022-09-30,Sudan,1350.828
2022-10-01,Sudan,1350.828
2022-10-02,Sudan,1351.255
2022-10-03,Sudan,1351.255
2022-10-04,Sudan,1351.255
2022-10-05,Sudan,1351.255
2022-10-06,Sudan,1351.255
2022-10-07,Sudan,1351.255
2022-10-08,Sudan,1351.255
2022-10-09,Sudan,1351.362
2022-10-10,Sudan,1351.362
2022-10-11,Sudan,1351.362
2022-10-12,Sudan,1351.362
2022-10-13,Sudan,1351.362
2022-10-14,Sudan,1351.362
