date,country,no_of_cases
2022-08-02,Sudan,1345.602
2022-08-03,Sudan,1345.602
2022-08-04,Sudan,1345.602
2022-08-05,Sudan,1345.602
2022-08-06,Sudan,1345.602
2022-08-07,Sudan,1346.924
2022-08-08,Sudan,1346.924
2022-08-09,Sudan,1346.924
2022-08-10,Sudan,1346.924
2022-08-11,Sudan,1346.924
2022-08-12,Sudan,1346.924
2022-08-13,Sudan,1346.924
2022-08-14,Sudan,1347.564
2022-08-15,Sudan,1347.564
2022-08-16,Sudan,1347.564
2022-08-17,Sudan,1347.564
2022-08-18,Sudan,1347.564
2022-08-19,Sudan,1347.564
2022-08-20,Sudan,1347.564
2022-08-21,Sudan,1348.652
2022-08-22,Sudan,1348.652
2022-08-23,Sudan,1348.652
2022-08-24,Sudan,1348.652
2022-08-25,Sudan,1348.652
2022-08-26,Sudan,1348.652
2022-08-27,Sudan,1348.652
2022-08-28,Sudan,1349.1
2022-08-29,Sudan,1349.1
2022-08-30,Sudan,1349.1
2022-08-31,Sudan,1349.1
2022-09-01,Sudan,1349.1
2022-09-02,Sudan,1349.1
2022-09-03,Sudan,1349.1
2022-09-04,Sudan,1349.698
2022-09-05,Sudan,1349.698
2022-09-06,Sudan,1349.698
2022-09-07,Sudan,1349.698
